levelket	text
10.46.1	प्रहोता॑। होता॑जा॒त:। जा॒तोम॒हान्। म॒हान्न॑भो॒वित्। न॒भो॒विन्नृ॒षद्वा॑। न॒भो॒विदिति॑न॒भ॒:ऽवित्। नृ॒षद्वा॑सीदत्। नृ॒सद्वेति॑नृ॒ऽसद्वा॑। सी॒द॒द॒पां। अ॒पामु॒पस्थे॑। उ॒पस्थ॒इत्यु॒पऽस्थे॑।। दधि॒र्य:। योधायि॑। धायि॒स:। सते॑। ते॒वयां॑सि। वयां॑सिय॒न्ता। य॒न्तावसू॑नि। वसू॑निविध॒ते। वि॒ध॒तेत॑नू॒पा:। त॒नू॒पाइति॑त॒नू॒ऽपा:।।
10.46.2	इ॒मंवि॒धन्तो॑अ॒पांस॒धस्थे॑प॒शुं। प॒शुन्न। नन॒ष्टं। न॒ष्टंप॒दै:। प॒दैरनु॑। अनु॑ग्मन्। ग्म॒न्निति॑ग्मन्।। गुहा॒चत॑न्तं। चत॑न्तमु॒शिज॑:। उ॒शिजो॒नमो॑भि:। नमो॑भिरि॒च्छन्त॑:। नमो॑भि॒रिति॒नम॑:ऽभि:। इ॒च्छन्तो॒धीरा॑:। धीरा॒भृग॑व:। भृग॑वोविन्दन्। अ॒वि॒न्दन्नित्य॑विन्दन्।।
10.46.3	इ॒मंत्रि॒त: त्रि॒तोभूरि॑। भूर्य॑विन्दत्। अ॒वि॒न्द॒दि॒च्छन्। इ॒च्छन्वै॑भूव॒स:। वै॒भू॒व॒सोमू॒र्धनि॑। वै॒भु॒व॒सइति॑वै॒भु॒ऽव॒स:। मू॒र्धन्यघ्न्या॑या:। अघ्न्या॑या॒इत्यघ्न्या॑या:।। ससेवृ॑ध:। सेवृ॑धोजा॒त:। जा॒तआह॒र्म्येषु॑। आह॒र्म्येषु॑। ह॒र्म्येषु॒नाभि॑:। नाभि॒र्युवा॑। युवा॑भवति। भ॒व॒ति॒रो॒च॒नस्य॑। रो॒च॒नस्येति॑रो॒च॒नस्य॑।।
10.46.4	म॒न्द्रहोता॑रमु॒शिजो॒नमो॑भि:। नमो॑भि॒:प्राञ्चं॑। नमो॑भि॒रिति॒नम॑:ऽभि:। प्राञ्चं॑य॒ज्ञं। य॒ज्ञन्ने॒तारं॑। ने॒तार॑मध्व॒राणां॑। अ॒ध्व॒राणा॒मित्य॑ध्व॒राणां॑।। वि॒शाम॑कृण्वन्। अ॒कृ॒ण्व॒न्न॒र॒तिं। अ॒र॒तिंपा॑व॒कं। पा॒व॒कंह॑व्य॒वाहं॑। ह॒व्य॒वाहं॒दध॑त:। ह॒व्य॒वाह॒मिति॑ह॒व्य॒ऽवाहं॑। दध॑तो॒मानु॑षेषु। मानु॑षे॒ष्विति॒मानु॑षेषु।।
10.46.5	प्रभू॒:। भू॒र्जय॑न्तं। जय॑न्तंम॒हां। म॒हांवि॑पो॒धां। वि॒पो॒धांमू॒रा:। वि॒पो॒धामिति॑वि॒प॒:ऽधां। मू॒राअमू॑रं। अमू॑रंपु॒रां। पु॒रांध॒र्माणं॑। द॒र्माण॒मिति॑द॒र्माणं॑।। नय॑न्तो॒गर्भं॑। गर्भं॑व॒नां। व॒नांधियं॑। धियं॑धु:। धु॒र्हिरि॑श्मश्रुं। हिरि॑श्मश्रु॒न्न। हिरि॑श्मश्रु॒मिति॒हिरि॑ऽश्मश्रुं। नार्वा॑णं। अर्वा॑णं॒धन॑र्चं। धन॑र्च॒मिति॒धन॑ऽअर्चं।।1।।
10.46.6	निप॒स्त्या॑सु। प॒स्त्या॑सुत्रि॒त:। त्रि॒तस्त॑भू॒यन्। स्त॒भू॒यन्परि॑वीत:। स्त॒भु॒यन्निति॑स्त॒भु॒ऽयन्। परि॑वीतो॒योनौ॑। परि॑वीता॒विति॒परि॑ऽवीतौ। योनौ॑सीदत्। सी॒द॒द॒न्त:। अ॒न्तरित्य॒न्त:।। अत॑स्सं॒गृभ्य॑। सं॒गृभ्या॑वि॒शां। सं॒गृभ्येति॑सं॒ऽगृभ्य॑। वि॒शांदमू॑ना:। दमू॑ना॒विध॑र्मणा। विध॑र्मणायं॒त्रै:। विध॑र्म॒णेति॒विऽध॑र्मणा। अ॒य॒न्त्रैरी॑यते। ई॒य॒ते॒नॄन्। नॄनिति॒नॄन्।।
10.46.7	अ॒स्याजरा॑स:। जरा॑सोद॒मां। द॒माम॒रित्रा॑:। अ॒रित्रा॑अ॒र्चध्दू॑मासोअ॒ग्नय॑:। अ॒र्चध्दू॑मास॒इत्य॒र्चत्ऽधू॑मास:। अ॒ग्नय॑:पाव॒का:। पा॒व॒काइति॑पा॒व॒का:।। श्वि॒ती॒चय॑श्वा॒त्रास॑:। श्वा॒त्रासो॑भुर॒ण्यव॑:। भु॒र॒ण्यवो॑वन॒र्षद॑:। व॒न॒र्षदो॑वा॒यव॑:। व॒न॒सद॒इति॑व॒न॒ऽसद॑:। वा॒यवो॒न। नसोमा॑:। सोमा॒इति॒सोमा॑:।।
10.46.8	प्रजि॒ह्वाया॑। जि॒ह्वया॑भरते। भ॒र॒ते॒वेप॑:। वेपो॑अ॒ग्नि:। अ॒ग्निर्व॒युना॑नि। व॒युना॑नि॒चेत॑सा। चेत॑सापृथि॒व्या:। पृ॒थि॒व्याइति॑पृ॒थि॒व्या:।। तमा॒यव॑श्शु॒चय॑न्तं। शु॒चय॑न्तंपाव॒कं। पा॒व॒कंम॒न्द्रं। म॒न्द्रंहोता॑रं। होता॑रंदधिरे। द॒धि॒रेयजि॑ष्ठं। यजि॑ष्ठ॒मिति॒यजि॑ष्ठं।।
10.46.9	द्यावा॒यं। यम॒ग्निं। अ॒ग्निंपृ॑थि॒वी। पृ॒थि॒वीजनि॑ष्ठां। पृ॒थि॒वीइति॑पृ॒थि॒वी। जनि॑ष्ठा॒माप॑:। आप॒स्त्वष्टा॑। त्वष्टा॒भृग॑व:। भृग॑वो॒यं। यंसहो॑भि:। सहो॑भि॒रिति॒सह॑:ऽभि:।। ई॒ळेन्यं॑प्रथ॒मं। प्र॒थ॒मंमा॑त॒रिश्वा॑। मा॒त॒रिश्वा॑दे॒वा:। दे॒वास्त॑तक्षु:। त॒त॒क्षु॒र्मन॑वे। मन॑वे॒यज॑त्रं। यज॑त्र॒मिति॒यज॑त्रं।।
10.46.10	यन्त्वा॑। त्वा॒दे॒वा:। दे॒वाद॑धि॒रे। द॒धि॒रेह॑व्य॒वाहं॑। ह॒व्य॒वाहं॑पुरु॒स्पृह॑:। ह॒व्य॒वाह॒मिति॑ह॒व्य॒ऽवाहं॑। पु॒रु॒स्पृहो॒मानु॑षास:। पु॒रु॒स्पृह॒इति॑पु॒रु॒ऽस्पृह॑:। मानु॑षासो॒यज॑त्रं। यज॑त्र॒मिति॒यज॑त्रं।। सयाम॑न्। याम॑न्नग्ने। अ॒ग्ने॒स्तु॒व॒ते। स्तु॒व॒तेवय॑:। वयो॑धा:। धा॒:प्र। प्रदे॑व॒यन्। दे॒व॒यन्य॒शसे॑। दे॒व॒यन्निति॑दे॒व॒ऽयन्। य॒शसे॒सं। संहि। हिपू॒र्वी:। पू॒र्वीरिति॑पू॒र्वी:।। 2 ।।
